Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,1uF,
C2,CP_Radial_D8.0mm_P3.50mm,1,100uf,
IC1,SOT-23-5_handsoldering,1,AP2112K-3.3TRG1,
J1,PinHeader_1x02_P2.54mm_Vertical,1,RST,
J2,PinHeader_1x04_P2.54mm_Vertical,1,USB_IN,
J4,KF301-4P screw terminal P5mm,1,Uart,
JP1,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,1,USB_POW,
RN1,R_Array_SIP5,1,10k,
SW1,SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm,1,SW_DIP_x02,
"SW_DOWN1, SW_LEFT1, SW_RIGHT1, SW_START1, SW_STOP1, SW_UP1",SW_Cherry_MX_1.00u_PCB,6,MX1A-E1NW,
TP1,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,IO2,
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
"VR1, VR2, VR3",PTV09A4015FB103,3,PTV09A-4025F-B103,
