Designator,Mid X,Mid Y,Rotation,Layer
C1,154.0,-67.5,90.0,top
C2,198.0,-71.0,0.0,top
IC1,154.0,-61.0,180.0,top
J1,203.0,-62.275,0.0,top
J2,189.0,-64.0,0.0,top
J4,120.4,-62.7,180.0,top
RN1,148.0,-64.94,270.0,top
SW1,136.735,-63.8525,90.0,top
SW_DOWN1,133.0,-123.0,0.0,top
SW_LEFT1,113.92,-123.0,0.0,top
SW_RIGHT1,151.92,-123.0,0.0,top
SW_START1,191.92,-123.0,0.0,top
SW_STOP1,192.0,-97.0,0.0,top
SW_UP1,132.92,-104.0,0.0,top
U1,172.94,-71.7,0.0,top
VR1,117.3,-81.4,0.0,top
VR2,133.086,-81.4,0.0,top
VR3,148.872,-81.4,0.0,top
